agency_cd,location_id,datetime,parameter_cd,flow.cfs,latitude,longitude
CDEC,KOT,2015-07-02T04:30:00Z,20,130,37.69978,-121.17019
CDEC,KOT,2015-07-02T04:45:00Z,20,130,37.69978,-121.17019
CDEC,KOT,2015-07-02T05:00:00Z,20,132,37.69978,-121.17019
CDEC,KOT,2015-07-02T05:15:00Z,20,132,37.69978,-121.17019
CDEC,KOT,2015-07-02T05:30:00Z,20,130,37.69978,-121.17019
CDEC,KOT,2015-07-02T05:45:00Z,20,132,37.69978,-121.17019
CDEC,KOT,2015-07-02T06:00:00Z,20,132,37.69978,-121.17019
CDEC,KOT,2015-07-02T06:15:00Z,20,139,37.69978,-121.17019
CDEC,KOT,2015-07-02T06:30:00Z,20,143,37.69978,-121.17019
CDEC,KOT,2015-07-02T06:45:00Z,20,150,37.69978,-121.17019
CDEC,KOT,2015-07-02T07:00:00Z,20,156,37.69978,-121.17019
CDEC,KOT,2015-07-02T07:15:00Z,20,161,37.69978,-121.17019
CDEC,KOT,2015-07-02T07:30:00Z,20,164,37.69978,-121.17019
CDEC,KOT,2015-07-02T07:45:00Z,20,166,37.69978,-121.17019
CDEC,KOT,2015-07-02T08:00:00Z,20,170,37.69978,-121.17019
CDEC,KOT,2015-07-02T08:15:00Z,20,172,37.69978,-121.17019
CDEC,KOT,2015-07-02T08:30:00Z,20,173,37.69978,-121.17019
CDEC,KOT,2015-07-02T08:45:00Z,20,170,37.69978,-121.17019
CDEC,KOT,2015-07-02T09:00:00Z,20,173,37.69978,-121.17019
CDEC,KOT,2015-07-02T09:15:00Z,20,168,37.69978,-121.17019
CDEC,KOT,2015-07-02T09:30:00Z,20,166,37.69978,-121.17019
CDEC,KOT,2015-07-02T09:45:00Z,20,165,37.69978,-121.17019
CDEC,KOT,2015-07-02T10:00:00Z,20,163,37.69978,-121.17019
CDEC,KOT,2015-07-02T10:15:00Z,20,161,37.69978,-121.17019
CDEC,KOT,2015-07-02T10:30:00Z,20,157,37.69978,-121.17019
CDEC,KOT,2015-07-02T10:45:00Z,20,155,37.69978,-121.17019
CDEC,KOT,2015-07-02T11:00:00Z,20,155,37.69978,-121.17019
CDEC,KOT,2015-07-02T11:15:00Z,20,152,37.69978,-121.17019
CDEC,KOT,2015-07-02T11:30:00Z,20,147,37.69978,-121.17019
CDEC,KOT,2015-07-02T11:45:00Z,20,148,37.69978,-121.17019
CDEC,KOT,2015-07-02T12:00:00Z,20,144,37.69978,-121.17019
CDEC,KOT,2015-07-02T12:15:00Z,20,143,37.69978,-121.17019
CDEC,KOT,2015-07-02T12:30:00Z,20,142,37.69978,-121.17019
CDEC,KOT,2015-07-02T12:45:00Z,20,139,37.69978,-121.17019
CDEC,KOT,2015-07-02T13:00:00Z,20,136,37.69978,-121.17019
CDEC,KOT,2015-07-02T13:15:00Z,20,134,37.69978,-121.17019
CDEC,KOT,2015-07-02T13:30:00Z,20,130,37.69978,-121.17019
CDEC,KOT,2015-07-02T13:45:00Z,20,125,37.69978,-121.17019
CDEC,KOT,2015-07-02T14:00:00Z,20,125,37.69978,-121.17019
CDEC,KOT,2015-07-02T14:15:00Z,20,121,37.69978,-121.17019
CDEC,KOT,2015-07-02T14:30:00Z,20,120,37.69978,-121.17019
CDEC,KOT,2015-07-02T14:45:00Z,20,119,37.69978,-121.17019
CDEC,KOT,2015-07-02T15:00:00Z,20,119,37.69978,-121.17019
CDEC,KOT,2015-07-02T15:15:00Z,20,116,37.69978,-121.17019
CDEC,KOT,2015-07-02T15:30:00Z,20,116,37.69978,-121.17019
CDEC,KOT,2015-07-02T15:45:00Z,20,116,37.69978,-121.17019
CDEC,KOT,2015-07-02T16:00:00Z,20,114,37.69978,-121.17019
CDEC,KOT,2015-07-02T16:15:00Z,20,113,37.69978,-121.17019
CDEC,KOT,2015-07-02T16:30:00Z,20,114,37.69978,-121.17019
CDEC,KOT,2015-07-02T16:45:00Z,20,112,37.69978,-121.17019
CDEC,KOT,2015-07-02T17:00:00Z,20,113,37.69978,-121.17019
CDEC,KOT,2015-07-02T17:15:00Z,20,110,37.69978,-121.17019
CDEC,KOT,2015-07-02T17:30:00Z,20,112,37.69978,-121.17019
CDEC,KOT,2015-07-02T17:45:00Z,20,110,37.69978,-121.17019
CDEC,KOT,2015-07-02T18:00:00Z,20,113,37.69978,-121.17019
CDEC,KOT,2015-07-02T18:15:00Z,20,114,37.69978,-121.17019
CDEC,KOT,2015-07-02T18:30:00Z,20,112,37.69978,-121.17019
CDEC,KOT,2015-07-02T18:45:00Z,20,110,37.69978,-121.17019
CDEC,KOT,2015-07-02T19:00:00Z,20,113,37.69978,-121.17019
CDEC,KOT,2015-07-02T19:15:00Z,20,117,37.69978,-121.17019
CDEC,KOT,2015-07-02T19:30:00Z,20,114,37.69978,-121.17019
CDEC,KOT,2015-07-02T19:45:00Z,20,112,37.69978,-121.17019
CDEC,KOT,2015-07-02T20:00:00Z,20,114,37.69978,-121.17019
CDEC,KOT,2015-07-02T20:15:00Z,20,117,37.69978,-121.17019
CDEC,KOT,2015-07-02T20:30:00Z,20,117,37.69978,-121.17019
CDEC,KOT,2015-07-02T20:45:00Z,20,119,37.69978,-121.17019
CDEC,KOT,2015-07-02T21:00:00Z,20,119,37.69978,-121.17019
CDEC,KOT,2015-07-02T21:15:00Z,20,120,37.69978,-121.17019
CDEC,KOT,2015-07-02T21:30:00Z,20,117,37.69978,-121.17019
CDEC,KOT,2015-07-02T21:45:00Z,20,120,37.69978,-121.17019
CDEC,KOT,2015-07-02T22:00:00Z,20,120,37.69978,-121.17019
CDEC,KOT,2015-07-02T22:15:00Z,20,120,37.69978,-121.17019
CDEC,KOT,2015-07-02T22:30:00Z,20,117,37.69978,-121.17019
CDEC,KOT,2015-07-02T22:45:00Z,20,114,37.69978,-121.17019
CDEC,KOT,2015-07-02T23:00:00Z,20,110,37.69978,-121.17019
CDEC,KOT,2015-07-02T23:15:00Z,20,109,37.69978,-121.17019
CDEC,KOT,2015-07-02T23:30:00Z,20,107,37.69978,-121.17019
CDEC,KOT,2015-07-02T23:45:00Z,20,107,37.69978,-121.17019
CDEC,KOT,2015-07-03T00:00:00Z,20,109,37.69978,-121.17019
CDEC,KOT,2015-07-03T00:15:00Z,20,106,37.69978,-121.17019
CDEC,KOT,2015-07-03T00:30:00Z,20,106,37.69978,-121.17019
CDEC,KOT,2015-07-03T00:45:00Z,20,104,37.69978,-121.17019
CDEC,KOT,2015-07-03T01:00:00Z,20,106,37.69978,-121.17019
CDEC,KOT,2015-07-03T01:15:00Z,20,106,37.69978,-121.17019
CDEC,KOT,2015-07-03T01:30:00Z,20,107,37.69978,-121.17019
CDEC,KOT,2015-07-03T01:45:00Z,20,104,37.69978,-121.17019
CDEC,KOT,2015-07-03T02:00:00Z,20,103,37.69978,-121.17019
CDEC,KOT,2015-07-03T02:15:00Z,20,103,37.69978,-121.17019
CDEC,KOT,2015-07-03T02:30:00Z,20,106,37.69978,-121.17019
CDEC,KOT,2015-07-03T02:45:00Z,20,106,37.69978,-121.17019
CDEC,KOT,2015-07-03T03:00:00Z,20,106,37.69978,-121.17019
CDEC,KOT,2015-07-03T03:15:00Z,20,106,37.69978,-121.17019
CDEC,KOT,2015-07-03T03:30:00Z,20,109,37.69978,-121.17019
CDEC,KOT,2015-07-03T03:45:00Z,20,109,37.69978,-121.17019
CDEC,KOT,2015-07-03T04:00:00Z,20,113,37.69978,-121.17019
CDEC,KOT,2015-07-03T04:15:00Z,20,114,37.69978,-121.17019
CDEC,KOT,2015-07-03T04:30:00Z,20,114,37.69978,-121.17019
CDEC,KOT,2015-07-03T04:45:00Z,20,120,37.69978,-121.17019
CDEC,KOT,2015-07-03T05:00:00Z,20,121,37.69978,-121.17019
CDEC,KOT,2015-07-03T05:15:00Z,20,124,37.69978,-121.17019
CDEC,KOT,2015-07-03T05:30:00Z,20,127,37.69978,-121.17019
CDEC,KOT,2015-07-03T05:45:00Z,20,128,37.69978,-121.17019
CDEC,KOT,2015-07-03T06:00:00Z,20,131,37.69978,-121.17019
CDEC,KOT,2015-07-03T06:15:00Z,20,130,37.69978,-121.17019
CDEC,KOT,2015-07-03T06:30:00Z,20,132,37.69978,-121.17019
CDEC,KOT,2015-07-03T06:45:00Z,20,132,37.69978,-121.17019
CDEC,KOT,2015-07-03T07:00:00Z,20,131,37.69978,-121.17019
CDEC,KOT,2015-07-03T07:15:00Z,20,131,37.69978,-121.17019
CDEC,KOT,2015-07-03T07:30:00Z,20,132,37.69978,-121.17019
CDEC,KOT,2015-07-03T07:45:00Z,20,135,37.69978,-121.17019
CDEC,KOT,2015-07-03T08:00:00Z,20,131,37.69978,-121.17019
CDEC,KOT,2015-07-03T08:15:00Z,20,130,37.69978,-121.17019
CDEC,KOT,2015-07-03T08:30:00Z,20,127,37.69978,-121.17019
CDEC,KOT,2015-07-03T08:45:00Z,20,127,37.69978,-121.17019
CDEC,KOT,2015-07-03T09:00:00Z,20,125,37.69978,-121.17019
CDEC,KOT,2015-07-03T09:15:00Z,20,125,37.69978,-121.17019
CDEC,KOT,2015-07-03T09:30:00Z,20,124,37.69978,-121.17019
CDEC,KOT,2015-07-03T09:45:00Z,20,125,37.69978,-121.17019
CDEC,KOT,2015-07-03T10:00:00Z,20,124,37.69978,-121.17019
CDEC,KOT,2015-07-03T10:15:00Z,20,124,37.69978,-121.17019
CDEC,KOT,2015-07-03T10:30:00Z,20,124,37.69978,-121.17019
CDEC,KOT,2015-07-03T10:45:00Z,20,125,37.69978,-121.17019
CDEC,KOT,2015-07-03T11:00:00Z,20,124,37.69978,-121.17019
CDEC,KOT,2015-07-03T11:15:00Z,20,124,37.69978,-121.17019
CDEC,KOT,2015-07-03T11:30:00Z,20,124,37.69978,-121.17019
CDEC,KOT,2015-07-03T11:45:00Z,20,127,37.69978,-121.17019
CDEC,KOT,2015-07-03T12:00:00Z,20,127,37.69978,-121.17019
CDEC,KOT,2015-07-03T12:15:00Z,20,124,37.69978,-121.17019
CDEC,KOT,2015-07-03T12:30:00Z,20,123,37.69978,-121.17019
CDEC,KOT,2015-07-03T12:45:00Z,20,124,37.69978,-121.17019
CDEC,KOT,2015-07-03T13:00:00Z,20,121,37.69978,-121.17019
CDEC,KOT,2015-07-03T13:15:00Z,20,120,37.69978,-121.17019
CDEC,KOT,2015-07-03T13:30:00Z,20,119,37.69978,-121.17019
CDEC,KOT,2015-07-03T13:45:00Z,20,119,37.69978,-121.17019
CDEC,KOT,2015-07-03T14:00:00Z,20,113,37.69978,-121.17019
CDEC,KOT,2015-07-03T14:15:00Z,20,114,37.69978,-121.17019
CDEC,KOT,2015-07-03T14:30:00Z,20,110,37.69978,-121.17019
CDEC,KOT,2015-07-03T14:45:00Z,20,110,37.69978,-121.17019
CDEC,KOT,2015-07-03T15:00:00Z,20,109,37.69978,-121.17019
CDEC,KOT,2015-07-03T15:15:00Z,20,109,37.69978,-121.17019
CDEC,KOT,2015-07-03T15:30:00Z,20,106,37.69978,-121.17019
CDEC,KOT,2015-07-03T15:45:00Z,20,106,37.69978,-121.17019
CDEC,KOT,2015-07-03T16:00:00Z,20,104,37.69978,-121.17019
CDEC,KOT,2015-07-03T16:15:00Z,20,104,37.69978,-121.17019
CDEC,KOT,2015-07-03T16:30:00Z,20,104,37.69978,-121.17019
CDEC,KOT,2015-07-03T16:45:00Z,20,104,37.69978,-121.17019
CDEC,KOT,2015-07-03T17:00:00Z,20,103,37.69978,-121.17019
CDEC,KOT,2015-07-03T17:15:00Z,20,102,37.69978,-121.17019
CDEC,KOT,2015-07-03T17:30:00Z,20,103,37.69978,-121.17019
CDEC,KOT,2015-07-03T17:45:00Z,20,102,37.69978,-121.17019
CDEC,KOT,2015-07-03T18:00:00Z,20,100,37.69978,-121.17019
CDEC,KOT,2015-07-03T18:15:00Z,20,102,37.69978,-121.17019
CDEC,KOT,2015-07-03T18:30:00Z,20,102,37.69978,-121.17019
CDEC,KOT,2015-07-03T18:45:00Z,20,102,37.69978,-121.17019
CDEC,KOT,2015-07-03T19:00:00Z,20,102,37.69978,-121.17019
CDEC,KOT,2015-07-03T19:15:00Z,20,100,37.69978,-121.17019
CDEC,KOT,2015-07-03T19:30:00Z,20,99,37.69978,-121.17019
CDEC,KOT,2015-07-03T19:45:00Z,20,99,37.69978,-121.17019
CDEC,KOT,2015-07-03T20:00:00Z,20,100,37.69978,-121.17019
CDEC,KOT,2015-07-03T20:15:00Z,20,99,37.69978,-121.17019
CDEC,KOT,2015-07-03T20:30:00Z,20,100,37.69978,-121.17019
CDEC,KOT,2015-07-03T20:45:00Z,20,99,37.69978,-121.17019
CDEC,KOT,2015-07-03T21:00:00Z,20,99,37.69978,-121.17019
CDEC,KOT,2015-07-03T21:15:00Z,20,97,37.69978,-121.17019
CDEC,KOT,2015-07-03T21:30:00Z,20,99,37.69978,-121.17019
CDEC,KOT,2015-07-03T21:45:00Z,20,102,37.69978,-121.17019
CDEC,KOT,2015-07-03T22:00:00Z,20,104,37.69978,-121.17019
CDEC,KOT,2015-07-03T22:15:00Z,20,106,37.69978,-121.17019
CDEC,KOT,2015-07-03T22:30:00Z,20,104,37.69978,-121.17019
CDEC,KOT,2015-07-03T22:45:00Z,20,109,37.69978,-121.17019
CDEC,KOT,2015-07-03T23:00:00Z,20,107,37.69978,-121.17019
CDEC,KOT,2015-07-03T23:15:00Z,20,107,37.69978,-121.17019
CDEC,KOT,2015-07-03T23:30:00Z,20,107,37.69978,-121.17019
CDEC,KOT,2015-07-03T23:45:00Z,20,107,37.69978,-121.17019
CDEC,KOT,2015-07-04T00:00:00Z,20,109,37.69978,-121.17019
CDEC,KOT,2015-07-04T00:15:00Z,20,110,37.69978,-121.17019
CDEC,KOT,2015-07-04T00:30:00Z,20,109,37.69978,-121.17019
CDEC,KOT,2015-07-04T00:45:00Z,20,109,37.69978,-121.17019
CDEC,KOT,2015-07-04T01:00:00Z,20,107,37.69978,-121.17019
CDEC,KOT,2015-07-04T01:15:00Z,20,107,37.69978,-121.17019
CDEC,KOT,2015-07-04T01:30:00Z,20,107,37.69978,-121.17019
CDEC,KOT,2015-07-04T01:45:00Z,20,109,37.69978,-121.17019
CDEC,KOT,2015-07-04T02:00:00Z,20,110,37.69978,-121.17019
CDEC,KOT,2015-07-04T02:15:00Z,20,109,37.69978,-121.17019
CDEC,KOT,2015-07-04T02:30:00Z,20,107,37.69978,-121.17019
CDEC,KOT,2015-07-04T02:45:00Z,20,106,37.69978,-121.17019
CDEC,KOT,2015-07-04T03:00:00Z,20,106,37.69978,-121.17019
CDEC,KOT,2015-07-04T03:15:00Z,20,106,37.69978,-121.17019
CDEC,KOT,2015-07-04T03:30:00Z,20,106,37.69978,-121.17019
CDEC,KOT,2015-07-04T03:45:00Z,20,109,37.69978,-121.17019
CDEC,KOT,2015-07-04T04:00:00Z,20,106,37.69978,-121.17019
CDEC,KOT,2015-07-04T04:15:00Z,20,106,37.69978,-121.17019
CDEC,KOT,2015-07-04T04:30:00Z,20,106,37.69978,-121.17019
CDEC,KOT,2015-07-04T04:45:00Z,20,109,37.69978,-121.17019
CDEC,KOT,2015-07-04T05:00:00Z,20,106,37.69978,-121.17019
CDEC,KOT,2015-07-04T05:15:00Z,20,109,37.69978,-121.17019
CDEC,KOT,2015-07-04T05:30:00Z,20,106,37.69978,-121.17019
CDEC,KOT,2015-07-04T05:45:00Z,20,107,37.69978,-121.17019
CDEC,KOT,2015-07-04T06:00:00Z,20,107,37.69978,-121.17019
CDEC,KOT,2015-07-04T06:15:00Z,20,106,37.69978,-121.17019
CDEC,KOT,2015-07-04T06:30:00Z,20,106,37.69978,-121.17019
CDEC,KOT,2015-07-04T06:45:00Z,20,106,37.69978,-121.17019
CDEC,KOT,2015-07-04T07:00:00Z,20,109,37.69978,-121.17019
CDEC,KOT,2015-07-04T07:15:00Z,20,107,37.69978,-121.17019
CDEC,KOT,2015-07-04T07:30:00Z,20,109,37.69978,-121.17019
